Date,Substation,Feeder_Name,Time Off,Time On,Delay Hrs.,Line_section,new
2017-01-10 00:00:00,Panadura,Walana,2:45 h,3:09 h,0.4,Section 1_2_3,overwritten
2017-01-10 00:00:00,Panadura,Walana,3:09 h,3:23 h,0.23,Section 2_3,overwritten
2017-01-09 00:00:00,Panadura,Walana,18:00 h,18:02 h,0.03,Section 2,overwritten
2016-11-26 00:00:00,Panadura,Walana,12:30 h,12:46 h,0.27,Section 1_2_3,overwritten
2016-11-26 00:00:00,Panadura,Walana,12:46 h,13:07 h,0.35,Section 2_3,overwritten
2016-11-19 00:00:00,Panadura,Walana,11:33 h,13:19 h,1.77,Section 2,overwritten
2016-10-14 00:00:00,Panadura,Walana,11:36 h,11:37 h,0.02,Section 2_3,overwritten
2016-10-14 00:00:00,Panadura,Walana,11:59 h,12:00 h,0.02,Section 2_3,overwritten
2016-10-10 00:00:00,Panadura,Walana,11:10 h,11:45 h,0.58,Section 1_2_3,overwritten
2016-09-25 00:00:00,Panadura,Walana,16:17 h,17:10 h,0.88,Section 1_2,overwritten
2016-07-30 00:00:00,Panadura,Walana,9:11 h,9:47 h,0.6,Section 1_2_3,overwritten
2016-07-30 00:00:00,Panadura,Walana,9:47 h,9:55 h,0.13,Section 2_3,overwritten
2016-07-07 00:00:00,Panadura,Walana,17:10 h,17:51 h,0.68,Section 2_3,overwritten
2016-05-27 00:00:00,Panadura,Walana,9:20 h,9:28 h,0.13,Section 1_2_3,overwritten
2016-05-19 00:00:00,Panadura,Walana,2:53 h,3:45 h,0.87,Section 1_2_3,overwritten
2016-05-19 00:00:00,Panadura,Walana,15:40 h,17:08 h,1.47,Section 1_2_3,overwritten
2016-05-19 00:00:00,Panadura,Walana,17:08 h,17:15 h,0.12,Section 2_3,overwritten
2016-05-17 00:00:00,Panadura,Walana,13:23 h,13:24 h,0.02,Section 1_2_3,overwritten
2016-05-17 00:00:00,Panadura,Walana,13:28 h,13:59 h,0.52,Section 1_2_3,overwritten
2016-05-16 00:00:00,Panadura,Walana,2:46 h,2:47 h,0.02,Section 1_2_3,overwritten
2016-05-16 00:00:00,Panadura,Walana,2:47 h,4:00 h,1.22,Section 1_2_3,overwritten
2016-05-16 00:00:00,Panadura,Walana,4:48 h,4:54 h,0.1,Section 1_2_3,overwritten
2016-05-16 00:00:00,Panadura,Walana,6:10 h,6:11 h,0.02,Section 1_2_3,overwritten
2016-05-16 00:00:00,Panadura,Walana,11:06 h,11:07 h,0.02,Section 1_2_3,overwritten
2016-05-10 00:00:00,Panadura,Walana,8:11 h,8:12 h,0.02,Section 1_2_3,overwritten
2016-05-01 00:00:00,Panadura,Walana,10:26 h,10:27 h,0.02,Section 1_2_3,overwritten
2016-04-24 00:00:00,Panadura,Walana,7:49 h,7:50 h,0.02,Section 1_2_3,overwritten
2016-04-22 00:00:00,Panadura,Walana,7:56 h,7:57 h,0.02,Section 1_2_3,overwritten
2016-04-22 00:00:00,Panadura,Walana,9:09 h,9:10 h,0.02,Section 1_2_3,overwritten
2016-04-17 00:00:00,Panadura,Walana,4:23 h,4:24 h,0.02,Section 1_2_3,overwritten
2016-03-31 00:00:00,Panadura,Walana,8:19 h,8:20 h,0.02,Section 1_2_3,overwritten
2016-03-27 00:00:00,Panadura,Walana,8:58 h,8:59 h,0.02,Section 1_2_3,overwritten
2016-01-04 00:00:00,Panadura,Walana,11:45 h,13:25 h,1.67,Section 2_3,overwritten
2015-12-05 00:00:00,Panadura,Walana,7:45 h,7:52 h,0.12,Section 2_3,overwritten
2015-12-05 00:00:00,Panadura,Walana,17:17 h,17:21 h,0.07,Section 2_3,overwritten
2015-11-19 00:00:00,Panadura,Walana,20:35 h,20:50 h,0.25,Section 2_3,overwritten
2015-11-10 00:00:00,Panadura,Walana,15:27 h,15:46 h,0.32,Section 2_3,overwritten
2015-10-21 00:00:00,Panadura,Walana,12:45 h,13:10 h,0.42,Section 1_2_3,overwritten
2015-09-19 00:00:00,Panadura,Walana,10:40 h,10:43 h,0.05,Section1,overwritten
2015-09-17 00:00:00,Panadura,Walana,10:15 h,10:18 h,0.05,Section 1_2_3,overwritten
2015-07-06 00:00:00,Panadura,Walana,9:03 h,9:22 h,0.32,Section 1_2_3,overwritten
2015-06-05 00:00:00,Panadura,Walana,18:32 h,19:40 h,1.13,Section 2_3,overwritten
2015-03-26 00:00:00,Panadura,Walana,0:20 h,0:25 h,0.08,Section 2_3,overwritten
2015-03-25 00:00:00,Panadura,Walana,19:35 h,19:45 h,0.17,Section 2_3,overwritten
