Date,Sub_name,Fdr_name,Time off,Time on,Delay hrs.,Line_section,new
2016-10-19 00:00:00,Fullerton,Kaluthara North,12:25 h,12:55 h,0.5,Section 1 & 2,overwritten
2016-10-20 00:00:00,Fullerton,Kaluthara North,10:00 h,10:17 h,0.28,Section 1 & 2,overwritten
2016-10-20 00:00:00,Fullerton,Kaluthara North,10:17 h,10:40 h,0.38,Section 1,overwritten
2016-10-22 00:00:00,Fullerton,Kaluthara North,15:10 h,15:26 h,0.27,Section 1 & 2,overwritten
2016-10-22 00:00:00,Fullerton,Kaluthara North,15:26 h,15:45 h,0.32,Section 1,overwritten
2016-10-24 00:00:00,Fullerton,Kaluthara North,14:21 h,14:54 h,0.55,Section 1 & 2,overwritten
2016-10-26 00:00:00,Fullerton,Kaluthara North,19:42 h,20:22 h,0.67,Section 1 & 2,overwritten
2016-10-26 00:00:00,Fullerton,Kaluthara North,20:22 h,22:08 h,1.77,Section 1,overwritten
2016-11-02 00:00:00,Fullerton,Kaluthara North,14:51 h,15:12 h,0.35,Section 2,overwritten
2016-11-03 00:00:00,Fullerton,Kaluthara North,15:48 h,15:55 h,0.12,Section 2,overwritten
2016-11-04 00:00:00,Fullerton,Kaluthara North,22:26 h,22:53 h,0.45,Section 1,overwritten
2016-11-05 00:00:00,Fullerton,Kaluthara North,15:34 h,15:51 h,0.28,Section 1,overwritten
2016-11-26 00:00:00,Fullerton,Kaluthara North,12:08 h,12:09 h,0.02,Section 1 & 2,overwritten
2016-11-27 00:00:00,Fullerton,Kaluthara North,8:00 h,8:10 h,0.17,Section 1 & 2,overwritten
2016-11-28 00:00:00,Fullerton,Kaluthara North,6:34 h,6:53 h,0.32,Section 1 & 2,overwritten
2016-11-28 00:00:00,Fullerton,Kaluthara North,6:53 h,7:01 h,0.13,Section 2,overwritten
2016-11-28 00:00:00,Fullerton,Kaluthara North,14:43 h,14:44 h,0.02,Section 1 & 2,overwritten
2016-11-29 00:00:00,Fullerton,Kaluthara North,3:24 h,3:25 h,0.02,Section 1 & 2,overwritten
2016-11-29 00:00:00,Fullerton,Kaluthara North,6:34 h,7:04 h,0.5,Section 1 & 2,overwritten
2016-11-29 00:00:00,Fullerton,Kaluthara North,7:04 h,7:28 h,0.4,Section 2,overwritten
2016-11-29 00:00:00,Fullerton,Kaluthara North,14:48 h,14:49 h,0.02,Section 1 & 2,overwritten
2016-12-01 00:00:00,Fullerton,Kaluthara North,8:37 h,9:39 h,1.03,Section 1 & 2,overwritten
